File,Average Accuracy (Refactored),Average Accuracy (Optimized),Accuracy Change Percentage,Average Runtime Improvement (Refactored %),Average Runtime Improvement (Optimized %),Average Runtime Comparison (Refactored vs. Optimized %),Average ESLint Change Percentage,Average Closure Change Percentage
mixtral_results_temp_0/PROMPT_REFACTOR_V2_mixtral-8x7b-32768.csv,0.7193,0.9071,-20.7048,32.931,16.6492,13.9579,2.9738,24.8766
mixtral_results_temp_0/PROMPT_REFACTOR_V1_mixtral-8x7b-32768.csv,0.6474,0.8871,-27.0225,41.5985,14.9248,23.2097,-6.0958,15.0334
mixtral_results_temp_0/PROMPT_REFACTOR_V3_mixtral-8x7b-32768.csv,0.6491,0.9071,-28.4478,30.059,13.9783,14.1085,-0.992,4.7036
openai_results_temp_0/gpt-3.5-turbo/PROMPT_REFACTOR_V2_gpt-3.5-turbo.csv,0.8564,0.8871,-3.4595,10.152,10.5919,-0.3977,-13.6484,-19.5847
openai_results_temp_0/gpt-3.5-turbo/PROMPT_REFACTOR_V3_gpt-3.5-turbo.csv,0.8953,0.8871,0.9227,12.6685,14.1212,-1.2729,-8.4147,-21.3308
openai_results_temp_0/gpt-3.5-turbo/PROMPT_REFACTOR_V1_gpt-3.5-turbo.csv,0.8902,0.8871,0.3483,15.0336,16.1675,-0.9761,-11.2403,-23.968
llama3_90B_results_temp_0/PROMPT_REFACTOR_V1_llama3-groq-70b-8192-tool-use-preview.csv,0.8101,0.9256,-12.4768,19.1242,16.773,2.0134,-17.2488,-27.9569
llama3_90B_results_temp_0/PROMPT_REFACTOR_V2_llama3-groq-70b-8192-tool-use-preview.csv,0.8055,0.9056,-11.0473,40.1507,14.8535,22.0256,-18.6928,-29.9736
llama3_90B_results_temp_0/PROMPT_REFACTOR_V3_llama3-groq-70b-8192-tool-use-preview.csv,0.8323,0.9256,-10.0815,16.633,18.0448,-1.196,-11.6058,-25.69
openai_results_temp_0/gpt-4-turbo/PROMPT_REFACTOR_V2_gpt-4-turbo.csv,0.8659,0.8871,-2.3853,11.4769,15.4153,-3.4124,-18.8107,5.3197
openai_results_temp_0/gpt-4-turbo/PROMPT_REFACTOR_V3_gpt-4-turbo.csv,0.8795,0.8871,-0.8595,23.9818,16.6083,6.3233,-14.4166,7.0531
openai_results_temp_0/gpt-4-turbo/PROMPT_REFACTOR_V1_gpt-4-turbo.csv,0.8795,0.8871,-0.8595,24.3259,15.4125,7.7231,-15.8102,8.3531
gemini_results_temp_0/gemini-1.5-pro/PROMPT_REFACTOR_V3_gemini-1.5-pro.csv,0.8753,0.8871,-1.3336,26.958,24.8308,1.704,-3.257,9.9114
gemini_results_temp_0/gemini-1.5-pro/PROMPT_REFACTOR_V2_gemini-1.5-pro.csv,0.8945,0.8871,0.8314,27.5686,13.4029,12.4915,-4.2644,6.1447
gemini_results_temp_0/gemini-1.5-pro/PROMPT_REFACTOR_V1_gemini-1.5-pro.csv,0.9062,0.9071,-0.0966,25.5993,14.7691,9.4365,-7.3866,7.9114
gemini_results_temp_0/gemini-1.5-flash/PROMPT_REFACTOR_V1_gemini-1.5-flash.csv,0.8611,0.8871,-2.9318,18.6823,12.5798,5.4206,-9.6684,10.1864
gemini_results_temp_0/gemini-1.5-flash/PROMPT_REFACTOR_V2_gemini-1.5-flash.csv,0.8736,0.8871,-1.5199,9.2501,15.0862,-5.0711,-16.505,9.5197
gemini_results_temp_0/gemini-1.5-flash/PROMPT_REFACTOR_V3_gemini-1.5-flash.csv,0.8611,0.8871,-2.9318,17.4638,13.2154,3.7524,-8.5615,7.1197
